商品名,種別,説明,価格,写真表示エリア,画像URL,画像URL読込用,,
ダークオレンジジュース,IcedDrink,地中海の強い陽光を浴びてキラキラと輝き、まるでオレンジの果肉そのものが液体になったような、鮮烈な一杯。人生で一番濃いオレンジジュース」と言っても過言ではないインパクトです。,700,#NAME?,https://drive.google.com/file/d/1xSUrdyby033cK6cKRNJM6HUR-XBnVMwt/view?usp=sharing,https://lh3.googleusercontent.com/d/1xSUrdyby033cK6cKRNJM6HUR-XBnVMwt,,
ダークオレンジソルベ,Desserts,ダークオレンジをベースにして、ソルベ（シャーベット）になることで、「果肉の繊維」や「とろけるような質感」が加わり、さらに濃厚さが増したデザート。是非、真夏のテラスでお召し上がりください。インスタ映えいたしますが、溶けるのも一瞬でございます。,800,#NAME?,https://drive.google.com/file/d/1JM_bWrMbNr6YyL4aNRbicIyvi343vXmu/view?usp=sharing,https://lh3.googleusercontent.com/d/1JM_bWrMbNr6YyL4aNRbicIyvi343vXmu,,
静寂歓,Special,"白檀やシナモン（桂皮）などの「七種の香」が丁寧に練りこまれた、濃厚な胡桃あんが、カリカリの生地の中にぎっしりと詰まっています。
その温かいあんからお香の香りがふわりと立ち上り、口いっぱいに広がる……そんな静寂なひと皿を楽しんでください。
なお、亀屋清永様の清浄歓喜団とは歴史や製法等が全く別物。月灯りカフェの歴史の浅い新作です。",800,#NAME?,https://drive.google.com/file/d/1EZk_vVnsnkuZm7YbAd9JmjQdtcLQbeVq/view?usp=sharing,https://lh3.googleusercontent.com/d/1EZk_vVnsnkuZm7YbAd9JmjQdtcLQbeVq,,
ミントクリームティー,HotDrink,"ストレートはございません。必ずクリームがついてきます。
このクリーム自体に、フレッシュミントを極限まで細かくしたエキスと、ほんのり優しい甘さを練り込んでいます。
☆まずは上に乗ったクリームで: スプーンで少しすくって、熱いストレートティーと交互に味わうと、口の中でミントの香りが爆発します。
☆途中から、別添えクリームを全部紅茶の中に投入してみてください。濃厚なミントミルクティーへと、劇的に「味変」します。",700,#NAME?,https://drive.google.com/file/d/1C3_vBXxImE8FIIsnAY90YDBeeVRSVM6S/view?usp=sharing,https://lh3.googleusercontent.com/d/1C3_vBXxImE8FIIsnAY90YDBeeVRSVM6S,,
レモンシフォンケーキ,Desserts,"ふかふかのレモンケーキを一口ほおばると、まず国産レモンの甘酸っぱさが広がり、次にミントの清涼感が抜け、そして最後に、喉の奥から白檀の深く、静かな残り香がふわりと立ち上リます。
そして、さらに別添えのクリームも（オプションでお替り自由です）。",800,#NAME?,https://drive.google.com/file/d/1ENReUqezzwBNIgvYFDzjOHAqybn5rGpJ/view?usp=sharing,https://lh3.googleusercontent.com/d/1ENReUqezzwBNIgvYFDzjOHAqybn5rGpJ,,
ダークサーモンと京野菜の低音オーブン焼き,Food,低音でじっくり焼き上げたサーモン。そのダークな魅力を引き立てるのが、バルサミコを極限まで煮詰めた、濃厚で真っ黒なソースです。このソースがサーモンの脂を「お焦げ」のように包み込み、高貴で深みのある味わいを生み出します。色鮮やかな京野菜（万願寺唐辛子や賀茂茄子）を美しく並べ、最後に白胡椒とハーブを散らして、彩り豊かなひと皿に仕上げました。(お召し上がりの際は耳を澄ませてください),900,#NAME?,https://drive.google.com/file/d/14d8rQx-dQyQi7aexGwQXJ2VKLAJtVHsv/view?usp=sharing,https://lh3.googleusercontent.com/d/14d8rQx-dQyQi7aexGwQXJ2VKLAJtVHsv,,
国産小麦の焼きたてあんぱん,Food,国産小麦を使った生地は、オーブンで香ばしく焼き上げられ、表面はツヤツヤとした食欲をそそる黄金色。その上には、アクセントとして香ばしい黒ごまを散らしました。中は、渋皮つきの栗をじっくり煮詰めてペースト状にした「渋皮マロン餡」。餡の中には、ゴロゴロと砕かれた渋皮栗の実も隠れていて、ほっくりとした食感が楽しめます。テイクアウトもどうぞ。,800,#NAME?,https://drive.google.com/file/d/1SeiTSg4bCNurSUcyhNKcy71eAUdaqgF-/view?usp=sharing,https://lh3.googleusercontent.com/d/1SeiTSg4bCNurSUcyhNKcy71eAUdaqgF-,,
月見翡翠餃子,Food,薄い翡翠色の皮を通して、中のエビのピンクと、香味野菜の鮮やかな緑が美しく透けて見えます。皮はモチモチとしていながらも、香味野菜のシャキシャキとした食感とエビのぷりぷり感が味わえる、絶妙な蒸し加減に仕上げました。上に、艶やかな卵黄の醤油漬けを、まるで夜空に浮かぶ満月のように配置しました。翡翠色と鮮やかなコントラストを生み出し、より一層神秘的で食欲をそそる「怪しい心地よさ」を演出します。,900,#NAME?,https://drive.google.com/file/d/166i1aTBM3chOD2HEwM7xgYLNTI-vtbDP/view?usp=sharing,https://lh3.googleusercontent.com/d/166i1aTBM3chOD2HEwM7xgYLNTI-vtbDP,,
レモンメレンゲクッキー,Special,"甘酸っぱいレモンの香りが口いっぱいに広がります。メレンゲ特有の、あの「サクッ、しゅわっ」とした食感が、この「ふっくり」とした厚みからも想像できるかと思います。シナモンパウダー、エディブルフラワー、そしてレモンの皮（ゼスト）を、夜空に見立てた青いお皿に散らしております。
（月見翡翠餃子の売れ行きが、生産量を決定いたします。売り切れの日はご容赦くださいませ。大量生産時は特別セール価格となります。）",800,#NAME?,https://drive.google.com/file/d/1hoGFBsqBtnD0-Ku0Cqyle-3-lg9OZE6Y/view?usp=sharing,https://lh3.googleusercontent.com/d/1hoGFBsqBtnD0-Ku0Cqyle-3-lg9OZE6Y,,
"月夜のオリーブ
アヒージョ",olive,黒オリーブの深い黒、グリーンオリーブの鮮やかな緑、そして真っ赤な唐辛子が、オイルの中で踊る景色は、まさに大人の美食。チーズがとろりと溶け込み、粉チーズとパセリが雪のように散らばっているのが、美味しさをより強調してくれています。バゲットにオイルをたっぷりと浸して、オリーブのふっくらとした甘さとチーズのコク、そしてガーリックの禁断の香をお楽しみください。,900,#NAME?,https://drive.google.com/file/d/1tlnRwS-b35vhydxvvFdhqz_0urJB3a6j/view?usp=sharing,https://lh3.googleusercontent.com/d/1tlnRwS-b35vhydxvvFdhqz_0urJB3a6j,,
オペラのガトーオペラ,Desserts,最上部の鮮やかな層は、チェリーをベースにした特別なミラーグラサージュです。上から3層目に見える、濃い色の層はフランボワーズの酸味を効かせた、濃厚なチョコレートガナッシュです。さらに、その下のクリーム色の層は、ダークチェリーバタークリームにしています。チェリーをふんだんに使った、まさに「華やかなオペラ座のようなガトーオペラ」です。,800,#NAME?,https://drive.google.com/file/d/1FBsu29Fgp8Az2LkpBTft6vuZUShC61Wd/view?usp=sharing,https://lh3.googleusercontent.com/d/1FBsu29Fgp8Az2LkpBTft6vuZUShC61Wd,,
しゃきしゃき温レタスの濃厚オイスターごま油掛け,Food,"オイスターソースの濃密なうま味とコクに、ごま油の香ばしい風味が加わることで、レタスの持つほのかな甘みと水分が引き立ちます。お酒のおつまみにも、ご飯のお供にも最高です。（当店はアルコール類はご用意いたしておりません。）
レタスの旬や仕入れ値に合わせてお値段が変わる価格変動制メニューです。",900,#NAME?,https://drive.google.com/file/d/1JJIPX1q25K5bNyTVlWIET7P9OiasED5q/view?usp=sharing,https://lh3.googleusercontent.com/d/1JJIPX1q25K5bNyTVlWIET7P9OiasED5q,,
北海道産アスパラのグリル～パルメザン和え,Food,ローストされたアスパラガスとコクのあるパルメザンチーズに、新鮮なレモンをキュッと絞ると、口の中に爽やかな香りと酸味が広がって、アスパラガスの甘みがさらに引き立ちます。北海道産Lサイズアスパラの柔らかさと甘味も存分にお楽しみください。,900,#NAME?,https://drive.google.com/file/d/17DhfiEXej4Vt_U9UtyQRD2blxbVwZTYL/view?usp=sharing,https://lh3.googleusercontent.com/d/17DhfiEXej4Vt_U9UtyQRD2blxbVwZTYL,,
月夜のオリーブとひき肉のアヒージョ,olive,"濃厚な合挽肉の旨味、チーズのコク、オリーブの塩気は、間違いなくワイン（特に赤）と最高にマッチします（当店にアルコール飲料はございません）。
オーブンからテーブルまで、一直線でスキレット（鉄鍋）をお持ちいたします。あつあつを、豪快にお召し上がりください。",900,#NAME?,https://drive.google.com/file/d/1rSqR9yZzMNcU7LMqTrhFf0AOBbkGBmWX/view?usp=sharing,https://lh3.googleusercontent.com/d/1rSqR9yZzMNcU7LMqTrhFf0AOBbkGBmWX,,
月夜のオリーブと豆腐のアヒージョ,olive,東山豆腐店の国産大豆製「硬い木綿」を乾煎りし、ほくほくのニンニク片、輪切りの赤唐辛子、そしてたっぷりのグリーンオリーブとブラックオリーブが、豆腐の間を彩ります。そしてとろ〜り溶けたチーズの上に、焦げ目のついた粉チーズ。そして、直前に絞られたばかりの新鮮なレモン片が添えられています。間違いなくワイン（特に白）と最高にマッチします（当店にアルコール飲料はございません）。,900,#NAME?,https://drive.google.com/file/d/1J-O2DY6ul3OM7eqKJaczRFVPXvkEI9Kh/view?usp=sharing,https://lh3.googleusercontent.com/d/1J-O2DY6ul3OM7eqKJaczRFVPXvkEI9Kh,,
月夜のオリーブとマッシュルームのアヒージョ,olive,縦切りの大きなブラウンマッシュルームに、ゴロッとしたグリーンオリーブとブラックオリーブ、そしてとろ〜りチーズ。グリーンオリーブの酸味と苦みがマッシュルームの旨味と融合し、ブラックオリーブの柔らかい味わいと絡み合います。,900,#NAME?,https://drive.google.com/file/d/1vRimAq2sI3OUGlnDirQzUXmQATzXpD4K/view?usp=sharing,https://lh3.googleusercontent.com/d/1vRimAq2sI3OUGlnDirQzUXmQATzXpD4K,,
月夜のオリーブと蒟蒻のアヒージョ,olive,斜め格子に包丁が入った角切り蒟蒻が、オイルと旨味をたっぷり纏ってツヤツヤと輝きます。緑と黒のオリーブ、香ばしく色づいたニンニクと赤唐辛子に、表面で香ばしく溶けたチーズと粉チーズが絡み合い、熱々の湯気とともに、キュッと絞ったレモンのフレッシュ感が漂うような一皿に仕上げました,900,#NAME?,https://drive.google.com/file/d/1-q_-qx0aSnFfusCkTcn2l3TOFh1Lor6z/view?usp=sharing,https://lh3.googleusercontent.com/d/1-q_-qx0aSnFfusCkTcn2l3TOFh1Lor6z,,
"京風SuperMoonお雑煮
黒オリーブの蜂蜜漬け",Special,"お正月の三が日のみのスペシャルメニューです。京風の白みそ仕立てに、お餅より存在感のある甘く炊いた人参がスーパームーンを演じる主役です。
黒豆煮ではなく、黒オリーブの蜂蜜漬けを添えております。",900,#NAME?,https://drive.google.com/file/d/11DQMqC0T73q-qdsXl4zZ9sbVThj3j_ty/view?usp=sharing,https://lh3.googleusercontent.com/d/11DQMqC0T73q-qdsXl4zZ9sbVThj3j_ty,,
プレミアムココア,Hot&Iced,"ほろ苦さをしっかり感じる、なめらかな舌触り。生クリームをたっぷりのせています。アクセントにオレンジピールを添えて。
オプションで、パパイヤホィップ、チーズフォーム、ミントクリームをトッピングできます。なお、全部を載せた場合は、ご自身でお席までお持ちください。（店主が運ぶと、ときどきコケます）",700,#NAME?,https://drive.google.com/file/d/1wbava037Q8WUDIEdcNG35Gv_4bJcCz-b/view?usp=sharing,https://lh3.googleusercontent.com/d/1wbava037Q8WUDIEdcNG35Gv_4bJcCz-b,,
宇治抹茶ラテ,Hot&Iced,"お稽古用宇治抹茶業務用を使用しております。リーズナブルでたっぷり召し上がっていただけます。
オプションで、パパイヤホィップ、チーズフォーム、ミントクリームをトッピングできます。なお、以下同文。",700,#NAME?,https://drive.google.com/file/d/1V2ZevhnqwWQ2W3QJEcrmltZfw3p-8zco/view?usp=sharing,https://lh3.googleusercontent.com/d/1V2ZevhnqwWQ2W3QJEcrmltZfw3p-8zco,,
静岡抹茶ラテ,Hot,お稽古用静岡抹茶業務用を使用しております。宇治抹茶とはひと味違う、静岡抹茶ならではの鮮やかで力強い青々しさと野菜感を、ミントの清涼感と合わせた抹茶ラテです。青汁スムージー風味を味わっていただきたく、クリームは載せておりません。,700,#NAME?,https://drive.google.com/file/d/1ZtvKSWAT_olltrmlUJyWC5bGWnjlQDYE/view?usp=sharing,https://lh3.googleusercontent.com/d/1ZtvKSWAT_olltrmlUJyWC5bGWnjlQDYE,,
当店自慢のブレンドコーヒー,Hot,淹れたてのコーヒーの上にフレッシュなミントの葉をちょこんと添えています。熱でふわりと広がる爽やかな香りが、コーヒーの香ばしさと合わさって絶妙なハーモニーを生み出します。ミントの下に散らしてあるのは、ココアパウダーです。コーヒーの苦みにほんのりとした甘い香りと複雑さを加えています。ミントの爽やかさとイチジクチョコの濃厚な甘みで、最高のコーヒータイムを楽しんでください。,700,#NAME?,https://drive.google.com/file/d/1szxsWjPf_pbYSJt_DISssRQyz5gm4ZbS/view?usp=sharing,https://lh3.googleusercontent.com/d/1szxsWjPf_pbYSJt_DISssRQyz5gm4ZbS,,
当店自慢のブレンドコーヒー,Iced,ご注文の際は「冷コ」とご指定ください。スムーズにオーダーが通ります。,700,#NAME?,https://drive.google.com/file/d/1xOjmA1YfLJxPi17SC5W4m0MoBgJJpCAW/view?usp=sharing,https://lh3.googleusercontent.com/d/1xOjmA1YfLJxPi17SC5W4m0MoBgJJpCAW,,
"レモンが主役の
レモンスカッシュ",Iced,ご注文の際は「レスカ」とご指定ください。スムーズに以下同文。,700,#NAME?,https://drive.google.com/file/d/10lZSKIjEM1P3AJVYKz7i0KBGt18LHFCk/view?usp=sharing,https://lh3.googleusercontent.com/d/10lZSKIjEM1P3AJVYKz7i0KBGt18LHFCk,,
プラムジュース,Iced,ミャンマー直輸入のプラムジュース。ミャンマーのシャン州という涼しい高冷地エリアは、プラムの名産地として有名です。乾燥させてシロップ漬けにして保存し、これを水や炭酸で割ったジュースは、甘酸っぱくて少し塩気やスパイシーさがあることもあり、暑い国ならではのエネルギー補給ドリンクとして親しまれています。赤ワインのない当カフェでは、代替品としてプラムジュースを強くお勧めしております。,700,#NAME?,https://drive.google.com/file/d/1EfNKuzgZ31qyiOmiJ2ZvqxmX_e4fV9U2/view?usp=sharing,https://lh3.googleusercontent.com/d/1EfNKuzgZ31qyiOmiJ2ZvqxmX_e4fV9U2,,
ラペットゥ,Food,揚げた各種のナッツのカリカリ感と、発酵した茶葉の複雑な風味がトマトやキャベツと合わさって生まれる「癖になる味」。ミャンマーの代表的なサラダです。辛みはほとんどなく、日本人の舌にもよく合うお料理です。,900,#NAME?,https://drive.google.com/file/d/1-31sUVzBTZ-bgZVN0mtVywZPxHVXJXZS/view?usp=sharing,https://lh3.googleusercontent.com/d/1-31sUVzBTZ-bgZVN0mtVywZPxHVXJXZS,,
"昔ながらのプリン
マロスペシャル",Desserts,"男性の皆様へ。甘いものをご遠慮なさる必要はございません。男前のプリンをご用意しております。
硬めで、カラメル苦めで、クリームの乗った、昔ながらの王道プリンに、マロンを載せました。",800,#NAME?,https://drive.google.com/file/d/10k24qyctoLQJlwO2TxX64djVRBT6G77X/view?usp=sharing,https://lh3.googleusercontent.com/d/10k24qyctoLQJlwO2TxX64djVRBT6G77X,,
ドナイチョコ餅,Desserts,春雨製カダイフが過大に盛り込まれており、カットした断面から外へ飛び出すほどギッシリ！このカリカリ感が、お餅とクリームの柔らかさと最高のコントラストになっています。濃い宇治抹茶クリーム(ピスタチオではございません)の鮮やかな緑が、和のゴージャスさを引き立てています。「ナイフで切ってお箸でいただく」、これぞ和洋折衷の新しい和菓子体験です。どないでしょう？（オプションでマロンもつけられます）,800,#NAME?,https://drive.google.com/file/d/1iaZBuarLLavXHEi1-q3HsLr9bVWCIeoD/view?usp=sharing,https://lh3.googleusercontent.com/d/1iaZBuarLLavXHEi1-q3HsLr9bVWCIeoD,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
